107	110	5
115	120	11
133	137	0
152	157	7
179	183	11
188	191	14
205	207	15
232	236	0
277	281	2
321	324	3
342	346	5
362	365	9
387	391	14
408	411	15
433	437	16
470	472	9
493	495	5
504	508	0
531	536	4
560	563	6
582	586	0
607	612	6
617	621	0
693	698	5
705	707	6
726	729	9
753	758	0
823	827	2
834	837	5
875	878	7
896	898	0
930	932	1
937	941	5
950	954	8
969	971	10
980	983	0
1050	1054	1
1067	1070	5
1086	1089	6
1111	1116	12
1127	1132	15
1141	1144	16
1152	1155	17
1179	1181	18
1197	1200	20
1241	1245	1
1257	1261	3
1286	1290	6
1302	1304	2
1327	1329	4
1375	1377	6
1395	1397	8
1434	1437	9
1445	1447	10
1456	1460	15
1480	1484	20
1490	1495	0
1527	1532	1
1550	1552	2
1557	1559	3
1575	1578	6
1583	1588	0
1601	1604	2
1629	1634	1
1649	1653	0
1673	1677	4
1728	1730	5
1748	1751	6
1767	1770	9
1790	1794	14
1812	1816	0
1853	1857	4
1874	1876	3
1893	1895	5
1902	1907	9
2002	2005	7
2036	2041	0
2051	2056	1
2078	2083	8
2093	2095	3
2115	2117	0
2134	2136	1
2160	2162	0
2170	2175	5
2186	2188	6
2215	2220	8
2263	2265	2
2273	2277	6
2332	2337	13
2360	2362	15
2406	2410	17
2431	2434	6
2449	2452	10
2471	2474	7
2486	2489	8
2508	2510	1
2535	2538	2
2563	2568	5
2573	2576	0
2589	2592	4
2597	2602	10
2613	2617	15
2626	2630	13
2647	2649	15
2661	2663	5
2670	2674	9
2692	2695	1
2718	2723	7
2748	2752	0
2764	2766	2
2779	2784	6
2806	2809	9
2838	2840	10
2847	2850	14
2875	2877	15
2896	2900	20
2978	2981	5
2997	3001	8
3026	3031	0
3046	3050	3
3057	3059	4
3067	3070	0
3093	3097	5
3113	3117	7
3133	3137	0
3156	3159	1
3175	3179	5
3186	3189	0
3214	3216	1
3226	3228	2
3251	3256	6
3277	3281	0
3293	3296	1
3319	3323	0
3342	3344	2
3359	3364	6
3374	3377	8
3390	3393	10
3415	3419	14
3434	3438	11
3465	3468	0
3496	3500	1
3520	3523	5
3532	3534	7
3571	3576	0
3649	3653	4
3673	3678	5
3686	3688	7
3695	3700	14
3722	3725	16
