6	9	3
30	35	7
49	54	11
68	73	12
92	96	0
112	117	5
140	145	8
170	172	9
206	210	11
223	228	9
239	243	12
261	265	0
288	292	4
298	300	0
319	324	3
348	350	0
383	387	3
409	414	1
433	438	8
460	465	10
480	483	13
499	504	15
536	539	17
550	555	20
569	573	3
590	593	0
602	604	1
628	633	8
643	646	12
679	683	13
692	697	18
722	727	20
775	779	1
786	789	0
833	835	2
849	852	0
948	952	4
977	981	0
994	997	1
1003	1005	0
1062	1067	4
1095	1100	6
1119	1123	10
1136	1140	12
1145	1149	0
1174	1176	1
1191	1194	0
1224	1227	3
1245	1249	0
1266	1270	4
1289	1292	6
1315	1320	9
1336	1338	5
1363	1366	6
1399	1402	7
1427	1432	8
1442	1447	10
1472	1477	15
1494	1497	16
1514	1516	18
1593	1596	20
1632	1636	0
1729	1733	3
1746	1748	4
1755	1760	5
1783	1788	6
1802	1804	3
1820	1824	6
1877	1880	9
1902	1905	8
1932	1936	9
1953	1958	14
1965	1968	17
1988	1993	5
2004	2009	0
2061	2066	7
2088	2093	8
2098	2100	0
2118	2121	4
2142	2144	6
2167	2171	3
2188	2191	0
2202	2207	6
2228	2233	9
2252	2256	10
2281	2286	12
2293	2297	7
2321	2326	9
2378	2381	12
2406	2410	17
2439	2444	20
2575	2578	2
2587	2591	4
2607	2611	0
2635	2639	5
2646	2648	0
2677	2680	2
2686	2691	0
2719	2723	3
2743	2747	0
2836	2839	1
2871	2875	4
2899	2903	6
2926	2929	7
2938	2943	0
2960	2962	2
2968	2970	4
2989	2992	7
3010	3012	9
3020	3023	13
3029	3032	16
3040	3044	20
3124	3127	7
3146	3149	10
3167	3171	14
3183	3185	7
3201	3204	8
3209	3214	0
3240	3245	1
3255	3257	0
3271	3274	1
3298	3301	2
3325	3329	4
3352	3356	6
3380	3384	3
3405	3409	0
3426	3430	3
3461	3466	8
3474	3478	9
3493	3498	7
3505	3508	9
3530	3535	11
3540	3545	0
3567	3572	3
3589	3591	4
3636	3641	7
3659	3662	0
3695	3699	2
3724	3727	3
3752	3755	4
3775	3777	6
3792	3796	9
3819	3822	11
3846	3848	12
3868	3872	0
3883	3888	2
3903	3906	6
