2011.01.12;363;354
2011.01.19;366;359
2011.01.26;363;359
2011.02.02;359;357
2011.02.16;360;360
2011.02.23;365;362
2011.03.02;370;367
2011.03.09;375;372
2011.03.30;377;375
2011.04.11;381;375
2011.04.18;384;375
2011.05.04;388;372
2011.05.26;376;360
2011.06.01;382;366
2011.06.08;377;366
2011.06.15;372;366
2011.06.22;376;369
2011.06.29;370;360
2011.07.06;370;358
2011.07.13;377;363
2011.07.20;385;371
2011.07.27;388;375
2011.08.03;388;373
2011.08.10;384;371
2011.08.17;379;366
2011.09.07;386;371
2011.09.14;391;376
2011.09.21;397;383
2011.09.28;397;387
2011.10.12;396;392
2011.10.19;398;395
2011.10.26;397;400
2011.11.02;394;416
2011.11.09;397;422
2011.11.16;402;430
2011.11.23;397;433
2011.11.30;397;430
2011.12.07;395;427
2011.12.14;395;424
2011.12.21;395;420
2011.12.29;400;420
2012.01.04;413;433
2012.01.11;423;443
2012.01.18;426;449
2012.01.25;426;444
2012.02.01;421;436
2012.02.08;418;431
2012.02.15;420;434
2012.02.22;424;436
2012.03.07;429;433
2012.03.14;436;440
2012.03.21;441;444
2012.03.28;445;442
2012.04.04;450;442
2012.04.18;454;442
2012.04.25;450;442
2012.05.05;440;437
2012.05.09;430;431
2012.05.16;425;428
2012.05.31;429;431
2012.06.13;421;425
2012.06.20;416;419
2012.06.27;406;409
2012.07.11;414;416
2012.07.18;420;424
2012.07.25;425;432
2012.08.08;425;428
2012.08.15;430;431
2012.08.22;438;437
2012.09.05;438;440
2012.09.12;446;444
2012.09.19;438;439
2012.09.26;428;433
2012.10.10;430;435
2012.10.17;432;438
2012.10.26;422;431
2012.10.31;412;427
2012.11.07;404;425
2012.11.21;406;425
2012.12.05;403;421
2012.12.12;401;415
2012.12.19;405;413
2012.12.28;408;416
2013.01.04;413;421
2013.01.09;416;421
2013.01.16;418;426
2013.01.30;423;428
2013.02.06;431;428
2013.02.13;431;432
2013.02.20;434;434
2013.02.27;437;432
2013.03.06;431;431
2013.03.13;426;431
2013.03.20;429;435
2013.04.10;424;432
2013.04.17;411;419
2013.04.24;403;410
2013.05.02;408;415
2013.05.23;409;414
2013.06.12;411;414
2013.06.21;408;414
2013.07.03;408;416
2013.07.10;412;420
2013.07.17;420;424
2013.07.24;422;424
2013.07.31;419;421
2013.08.07;421;424
2013.08.14;416;422
2013.08.28;420;429
2013.09.04;432;440
2013.09.11;426;442
2013.09.18;414;437
2013.09.25;407;427
2013.10.09;400;421
2013.10.23;402;421
2013.10.30;395;413
2013.11.06;391;413
2013.11.20;401;418
2013.11.27;403;420
2013.12.06;403;426
2013.12.11;406;426
2013.12.18;399;421
2014.01.02;404;421
2014.01.08;400;418
2014.01.15;400;416
2014.01.29;403;421
2014.02.05;406;424
2014.02.26;413;429
2014.03.12;410;426
2014.04.02;415;424
2014.04.09;411;418
2014.04.16;414;418
2014.04.18;416;420
2014.04.24;419;423
2014.05.07;414;420
2014.05.09;411;417
2014.05.14;407;415
2014.05.21;410;418
2014.05.23;412;418
2014.05.28;414;418
2014.06.04;414;416
2014.06.06;414;414
2014.06.18;418;419
2014.06.20;422;423
2014.06.25;426;427
2014.07.16;424;423
2014.07.18;421;420
2014.07.23;418;420
2014.07.30;416;422
2014.08.01;416;425
2014.08.06;416;427
2014.08.08;414;427
2014.08.25;411;423
2014.08.29;415;425
2014.09.03;417;427
2014.09.10;421;427
2014.09.19;419;425
2014.09.24;416;423
2014.09.26;413;420
2014.10.10;413;416
2014.10.15;404;410
2014.10.17;395;405
2014.10.22;386;400
2014.10.29;383;400
2014.11.05;386;403
2014.11.19;381;399
2014.11.21;377;395
2014.11.26;374;391
2014.12.03;372;386
2014.12.05;364;380
2014.12.10;355;375
2014.12.12;351;372
2014.12.17;342;365
2014.12.19;336;359
2014.12.29;334;357
2014.12.31;336;360
2015.01.07;332;354
2015.01.09;330;352
2015.01.14;325;347
2015.01.16;322;344
2015.01.23;325;344
2015.02.04;327;346
2015.02.06;334;352
2015.02.11;341;359
2015.02.13;343;363
2015.02.18;347;367
2015.02.20;347;370
2015.02.25;349;370
2015.03.04;354;370
2015.03.06;358;372
2015.03.11;362;374
2015.03.18;364;371
2015.03.20;364;367
2015.03.25;361;364
2015.04.03;361;361
2015.04.15;359;361
2015.04.17;361;365
2015.04.22;370;373
2015.04.24;373;375
2015.04.29;375;375
2015.05.01;377;378
2015.05.08;377;380
2015.05.13;375;380
2015.05.29;381;382
2015.06.05;384;382
2015.06.12;384;380
2015.06.17;392;380
2015.06.24;390;380
2015.06.26;386;378
2015.07.08;390;378
2015.07.10;392;376
2015.07.15;395;370
2015.07.17;392;368
2015.07.22;383;365
2015.07.24;381;363
2015.07.29;379;361
2015.07.31;374;359
2015.08.05;374;355
2015.08.07;371;353
2015.08.12;366;351
2015.08.14;363;351
